PlayerKey,GameID,PlayKey_y,FieldType,PlayType,PlayerDay,PlayerGame,Position,PositionGroup,RosterPosition,Off_Def,StadiumType,StadiumCategory,Temperature,Weather,Weather_Category,Field_Condition,Temperature_Bin,Field_Temperature_Bin,PlayType_FieldCondition,DaysRest,WorkloadIncrease,WorkloadStress,PreInjuryWorkload,WorkloadDensity,Season,GameNumberInSeason,WorkloadDensity_SeasonAdjusted
46067,13,34,Synthetic,Pass,99,13,WR,WR,Wide Receiver,Offence,Indoors,Indoor,67,,,,Temp_Mild,Synthetic_Temp_Mild,Pass_None,7.0,-1.0,-0.1428571428571428,121,8.066666666666666,1,13,52.43333333333333
35611,11,63,Natural,Pass,99,11,FS,DB,Safety,Defence,Outdoors,Outdoor,42,Mostly Cloudy,damp,Natural_damp,Temp_Cold,Natural_Temp_Cold,Pass_Natural_damp,7.0,-5.0,-0.7142857142857142,167,5.758620689655173,1,11,31.67241379310345
44449,30,70,Natural,Rush,463,30,WR,WR,Wide Receiver,Offence,Outdoors,Outdoor,48,Clear Skies,dry,Natural_dry,Temp_Cold,Natural_Temp_Cold,Rush_Natural_dry,8.0,12.0,1.5,162,9.0,2,14,63.0
43489,26,70,Natural,Pass,442,26,SS,DB,Safety,Defence,Outdoor,Outdoor,56,Mostly Sunny,dry,Natural_dry,Temp_Mild,Natural_Temp_Mild,Pass_Natural_dry,7.0,-1.0,-0.1428571428571428,226,10.272727272727272,2,11,56.5
42588,27,61,Synthetic,Pass,439,27,T,OL,Offensive Lineman,Offence,Indoors,Indoor,68,,,,Temp_Mild,Synthetic_Temp_Mild,Pass_None,4.0,-16.0,-4.0,198,13.2,2,11,72.6
31266,1,40,Natural,Pass,1,1,DE,DL,Defensive Lineman,Defence,Ourdoor,Outdoor,81,Sunny,dry,Natural_dry,Temp_Hot,Natural_Temp_Hot,Pass_Natural_dry,0.0,0.0,0.0,0,0.0,1,1,
39850,10,27,Synthetic,Kickoff Not Returned,351,10,DB,DB,Safety,Defence,Outdoor,Outdoor,62,Cloudy and Cool,damp,Synthetic_damp,Temp_Mild,Synthetic_Temp_Mild,Kickoff Not Returned_Synthetic_damp,287.0,25.0,0.0871080139372822,39,2.6,2,1,1.3
36572,21,62,Synthetic,Rush,393,21,CB,DB,Cornerback,Defence,Retractable Roof,Outdoor,83,Partly Cloudy,damp,Synthetic_damp,Temp_Hot,Synthetic_Temp_Hot,Rush_Synthetic_damp,7.0,-29.0,-4.142857142857142,211,14.066666666666666,2,5,35.166666666666664
43229,13,61,Natural,Kickoff,91,13,SS,DB,Safety,Defence,,Outdoor,81,Partly Cloudy,damp,Natural_damp,Temp_Hot,Natural_Temp_Hot,Kickoff_Natural_damp,7.0,0.0,0.0,185,12.333333333333334,1,13,80.16666666666667
42432,14,51,Natural,Rush,372,14,WR,WR,Wide Receiver,Offence,Open,Outdoor,97,Rain Chance 40%,wet,Natural_wet,Temp_VeryHot,Natural_Temp_VeryHot,Rush_Natural_wet,7.0,8.0,1.1428571428571428,153,0.53125,2,2,0.53125
38281,10,40,Natural,Rush,-6,10,SS,DB,Safety,Defence,Outdoor,Outdoor,79,Cloudy,damp,Natural_damp,Temp_Mild,Natural_Temp_Mild,Rush_Natural_damp,7.0,4.0,0.5714285714285714,121,8.066666666666666,1,10,40.33333333333333
47287,7,51,Natural,Pass,43,7,WR,WR,Wide Receiver,Offence,Outdoor,Outdoor,79,Clear,dry,Natural_dry,Temp_Mild,Natural_Temp_Mild,Pass_Natural_dry,7.0,-22.0,-3.142857142857143,188,12.533333333333331,1,7,43.86666666666667
